Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/26/2018; 16:37:55;16.317735;-89.3301567;684;9;1;1.3;30;;63;0;0
05/26/2018; 16:53:04;16.3176667;-89.3299433;682;9;0.9;1.3;30;;8;0;0
05/26/2018; 17:08:20;16.3176433;-89.3308667;296;9;0.9;1.3;30;;15;0;0
05/26/2018; 17:23:31;16.3177533;-89.3301867;636;6;1.2;1.5;31;;10;0;0
05/26/2018; 17:39:08;16.3178417;-89.3301283;660;9;0.9;1.3;30;;36;0;0
05/26/2018; 17:54:16;16.3174367;-89.330185;566;6;1.8;2;30;;7;0;0
05/26/2018; 18:10:24;16.3178283;-89.329925;636;9;0.9;1.2;30;;63;0;0
05/26/2018; 18:25:44;16.3201183;-89.3274783;602;8;1.3;1.6;31;;20;0;0
05/26/2018; 18:40:55;16.3210033;-89.327785;760;6;1.6;1.9;31;;10;0;0
05/26/2018; 18:56:06;16.3205017;-89.3270833;644;7;1.3;1.6;32;;11;0;0
05/26/2018; 19:11:20;16.3206317;-89.32772;712;6;1.3;1.6;33;;12;0;0
05/26/2018; 19:26:33;16.320445;-89.3275133;674;8;1;1.9;32;;12;0;0
05/26/2018; 19:42:25;16.3203683;-89.327745;636;7;0.9;1.3;33;;51;0;0
05/26/2018; 19:58:56; ; ; ; ; ; ; ;;;;
05/26/2018; 20:15:26; ; ; ; ; ; ; ;;;;
05/26/2018; 20:30:41;16.3202333;-89.3279633;602;6;1.1;1.4;32;;14;0;0
05/26/2018; 20:45:49;16.32031;-89.3281883;554;6;1.1;1.4;32;;7;0;0
05/26/2018; 21:01:06;16.3201733;-89.3278233;632;6;1.2;1.5;33;;15;0;0
05/26/2018; 21:16:19;16.3211;-89.32805;646;7;1;1.3;32;;12;0;0
05/26/2018; 21:31:42;16.3228033;-89.3289567;616;6;1.1;1.4;31;;22;0;0
05/26/2018; 21:47:01;16.3219567;-89.328925;676;5;2.5;2.6;31;;18;0;0
05/26/2018; 22:02:35;16.3217667;-89.3288517;626;6;1.1;1.5;32;;33;0;0
05/26/2018; 22:19:06; ; ; ; ; ; ; ;;;;
05/26/2018; 22:34:24;16.3218033;-89.3293317;744;6;1.1;1.4;30;;18;0;0
05/26/2018; 22:49:43;16.32224;-89.32872;448;6;1.8;2.1;30;;18;0;0
05/26/2018; 23:04:48;16.32162;-89.328235;706;5;3.2;3.4;30;;3;0;0
05/26/2018; 23:21:19; ; ; ; ; ; ; ;;;;
05/26/2018; 23:37:49; ; ; ; ; ; ; ;;;;
05/26/2018; 23:54:20; ; ; ; ; ; ; ;;;;
05/27/2018; 00:09:30;16.3206183;-89.3272283;650;4;2.2;2.4;33;;10;0;0
05/27/2018; 00:24:39;16.3198917;-89.3278;644;7;1.1;1.4;30;;8;0;0
05/27/2018; 00:39:51;16.32033;-89.3278033;622;8;1;1.3;30;;10;0;0
05/27/2018; 00:54:55;16.32074;-89.3278417;596;8;1;1.3;30;;3;0;0
05/27/2018; 01:10:02;16.32223;-89.3284533;664;6;1.3;1.5;27;;6;0;0
05/27/2018; 01:25:15;16.320005;-89.3278933;640;6;1.2;1.5;27;;12;0;0
05/27/2018; 01:40:22;16.3204933;-89.3279933;626;7;1;1.3;29;;6;0;0
05/27/2018; 01:55:44;16.3201917;-89.327795;756;6;1.1;1.4;29;;21;0;0
05/27/2018; 02:10:51;16.3201983;-89.32762;608;6;1.2;1.5;29;;6;0;0
05/27/2018; 02:26:04;16.3203;-89.3275683;668;6;1.2;1.5;28;;12;0;0
05/27/2018; 02:41:09;16.3203267;-89.3275867;640;6;1.2;1.5;28;;3;0;0
05/27/2018; 02:56:38;16.320455;-89.3276383;658;6;1.4;1.7;30;;28;0;0
05/27/2018; 03:12:49;16.32014;-89.3276633;642;6;1.6;1.8;29;;63;0;0
05/27/2018; 03:28:19;16.320615;-89.327585;636;5;1.4;1.7;29;;29;0;0
05/27/2018; 03:43:29;16.3202917;-89.3281383;660;6;1.5;1.7;29;;11;0;0
05/27/2018; 03:58:43;16.320095;-89.3275517;582;5;1.8;2;32;;12;0;0
05/27/2018; 04:13:49;16.320185;-89.3277417;592;5;1.6;1.9;32;;5;0;0
05/27/2018; 04:28:57;16.3202783;-89.3277083;600;7;1;1.3;32;;7;0;0
