Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR, tbd
01/23/2019, 14:42:23, , , , , , , , No position found
01/23/2019, 14:58:53, , , , , , , , No position found
01/23/2019, 15:15:24, , , , , , , , No position found
01/23/2019, 15:31:54, , , , , , , , No position found
01/23/2019, 15:48:25, , , , , , , , No position found
01/23/2019, 16:04:55, , , , , , , , No position found
01/23/2019, 16:21:26, , , , , , , , No position found
01/23/2019, 16:37:56, , , , , , , , No position found
01/23/2019, 16:54:26, , , , , , , , No position found
01/23/2019, 17:10:57, , , , , , , , No position found
01/23/2019, 17:27:27, , , , , , , , No position found
01/23/2019, 17:43:58, , , , , , , , No position found
01/23/2019, 18:00:28, , , , , , , , No position found
01/23/2019, 18:16:59, , , , , , , , No position found
01/23/2019, 18:33:29, , , , , , , , No position found
01/23/2019, 18:50:00, , , , , , , , No position found
01/23/2019, 19:06:30, , , , , , , , No position found
01/23/2019, 19:23:01, , , , , , , , No position found
01/23/2019, 19:39:31, , , , , , , , No position found
01/23/2019, 19:56:02, , , , , , , , No position found
01/23/2019, 20:12:32, , , , , , , , No position found
01/23/2019, 20:29:03, , , , , , , , No position found
01/23/2019, 20:45:33, , , , , , , , No position found
01/23/2019, 21:02:03, , , , , , , , No position found
01/23/2019, 21:18:34, , , , , , , , No position found
01/23/2019, 21:35:04, , , , , , , , No position found
01/23/2019, 21:51:35, , , , , , , , No position found
01/23/2019, 22:08:05, , , , , , , , No position found
01/23/2019, 22:24:36, , , , , , , , No position found
01/23/2019, 22:41:06, , , , , , , , No position found
01/23/2019, 22:57:37, , , , , , , , No position found
01/23/2019, 23:14:07, , , , , , , , No position found
01/23/2019, 23:30:38, , , , , , , , No position found
01/23/2019, 23:47:08, , , , , , , , No position found
01/24/2019, 00:03:39, , , , , , , , No position found
01/24/2019, 00:20:09, , , , , , , , No position found
01/24/2019, 00:36:40, , , , , , , , No position found
01/24/2019, 00:53:10, , , , , , , , No position found
01/24/2019, 01:09:41, , , , , , , , No position found
01/24/2019, 01:26:11, , , , , , , , No position found
01/24/2019, 01:42:41, , , , , , , , No position found
01/24/2019, 01:59:12, , , , , , , , No position found
01/24/2019, 02:15:42, , , , , , , , No position found
01/24/2019, 02:32:13, , , , , , , , No position found
01/24/2019, 02:48:43, , , , , , , , No position found
01/24/2019, 03:05:14, , , , , , , , No position found
01/24/2019, 03:21:44, , , , , , , , No position found
01/24/2019, 03:38:15, , , , , , , , No position found
01/24/2019, 03:54:45, , , , , , , , No position found
01/24/2019, 04:11:16, , , , , , , , No position found
01/24/2019, 04:27:46, , , , , , , , No position found
01/24/2019, 04:44:17, , , , , , , , No position found
01/24/2019, 05:00:47, , , , , , , , No position found
01/24/2019, 05:17:18, , , , , , , , No position found
01/24/2019, 05:33:48, , , , , , , , No position found
01/24/2019, 05:50:19, , , , , , , , No position found
01/24/2019, 06:06:49, , , , , , , , No position found
01/24/2019, 06:23:19, , , , , , , , No position found
01/24/2019, 06:39:50, , , , , , , , No position found
01/24/2019, 06:56:20, , , , , , , , No position found
01/24/2019, 07:12:51, , , , , , , , No position found
01/24/2019, 07:29:21, , , , , , , , No position found
01/24/2019, 07:45:52, , , , , , , , No position found
01/24/2019, 08:02:22, , , , , , , , No position found
01/24/2019, 08:18:53, , , , , , , , No position found
01/24/2019, 08:35:23, , , , , , , , No position found
01/24/2019, 08:51:54, , , , , , , , No position found
01/24/2019, 09:08:24, , , , , , , , No position found
01/24/2019, 09:24:55, , , , , , , , No position found
01/24/2019, 09:41:25, , , , , , , , No position found
01/24/2019, 09:57:56, , , , , , , , No position found
01/24/2019, 10:14:26, , , , , , , , No position found
01/24/2019, 10:30:57, , , , , , , , No position found
01/24/2019, 10:47:27, , , , , , , , No position found
01/24/2019, 11:03:57, , , , , , , , No position found
01/24/2019, 11:20:28, , , , , , , , No position found
01/24/2019, 11:36:58, , , , , , , , No position found
01/24/2019, 11:53:29, , , , , , , , No position found
01/24/2019, 12:09:59, , , , , , , , No position found
01/24/2019, 12:26:30, , , , , , , , No position found
01/24/2019, 12:43:00, , , , , , , , No position found
01/24/2019, 12:59:31, , , , , , , , No position found
01/24/2019, 13:16:01, , , , , , , , No position found
01/24/2019, 13:32:32, , , , , , , , No position found
01/24/2019, 13:49:02, , , , , , , , No position found
01/24/2019, 14:05:33, , , , , , , , No position found
01/24/2019, 14:22:03, , , , , , , , No position found
01/24/2019, 14:38:34, , , , , , , , No position found
01/24/2019, 14:55:04, , , , , , , , No position found
01/24/2019, 15:11:35, , , , , , , , No position found
01/24/2019, 15:28:05, , , , , , , , No position found
01/24/2019, 15:44:35, , , , , , , , No position found
01/24/2019, 16:01:06, , , , , , , , No position found
01/24/2019, 16:17:36, , , , , , , , No position found
01/24/2019, 16:34:07, , , , , , , , No position found
01/24/2019, 16:50:37, , , , , , , , No position found
01/24/2019, 17:07:08, , , , , , , , No position found
01/24/2019, 17:23:38, , , , , , , , No position found
01/24/2019, 17:40:09, , , , , , , , No position found
01/24/2019, 17:56:39, , , , , , , , No position found
01/24/2019, 18:13:10, , , , , , , , No position found
01/24/2019, 18:29:40, , , , , , , , No position found
01/24/2019, 18:46:11, , , , , , , , No position found
01/24/2019, 19:02:41, , , , , , , , No position found
01/24/2019, 19:19:12, , , , , , , , No position found
01/24/2019, 19:35:42, , , , , , , , No position found
01/24/2019, 19:52:12, , , , , , , , No position found
01/24/2019, 20:08:43, , , , , , , , No position found
01/24/2019, 20:25:13, , , , , , , , No position found
01/24/2019, 20:41:44, , , , , , , , No position found
01/24/2019, 20:58:14, , , , , , , , No position found
01/24/2019, 21:14:45, , , , , , , , No position found
01/24/2019, 21:31:15, , , , , , , , No position found
01/24/2019, 21:47:46, , , , , , , , No position found
01/24/2019, 22:04:16, , , , , , , , No position found
01/24/2019, 22:20:47, , , , , , , , No position found
01/24/2019, 22:37:17, , , , , , , , No position found
01/24/2019, 22:53:48, , , , , , , , No position found
01/24/2019, 23:10:18, , , , , , , , No position found
01/24/2019, 23:26:49, , , , , , , , No position found
01/24/2019, 23:43:19, , , , , , , , No position found
01/24/2019, 23:59:50, , , , , , , , No position found
01/25/2019, 00:16:20, , , , , , , , No position found
01/25/2019, 00:32:50, , , , , , , , No position found
01/25/2019, 00:49:21, , , , , , , , No position found
01/25/2019, 01:05:51, , , , , , , , No position found
01/25/2019, 01:22:22, , , , , , , , No position found
01/25/2019, 01:38:52, , , , , , , , No position found
01/25/2019, 01:55:23, , , , , , , , No position found
01/25/2019, 02:11:53, , , , , , , , No position found
01/25/2019, 02:28:24, , , , , , , , No position found
01/25/2019, 02:44:54, , , , , , , , No position found
01/25/2019, 03:01:25, , , , , , , , No position found
01/25/2019, 03:17:55, , , , , , , , No position found
01/25/2019, 03:34:26, , , , , , , , No position found
01/25/2019, 03:50:56, , , , , , , , No position found
01/25/2019, 04:07:27, , , , , , , , No position found
01/25/2019, 04:23:57, , , , , , , , No position found
01/25/2019, 04:40:28, , , , , , , , No position found
01/25/2019, 04:56:58, , , , , , , , No position found
01/25/2019, 05:13:28, , , , , , , , No position found
01/25/2019, 05:29:59, , , , , , , , No position found
01/25/2019, 05:46:29, , , , , , , , No position found
01/25/2019, 06:03:00, , , , , , , , No position found
01/25/2019, 06:19:30, , , , , , , , No position found
01/25/2019, 06:36:01, , , , , , , , No position found
01/25/2019, 06:52:31, , , , , , , , No position found
01/25/2019, 07:09:02, , , , , , , , No position found
01/25/2019, 07:25:32, , , , , , , , No position found
01/25/2019, 07:42:03, , , , , , , , No position found
01/25/2019, 07:58:33, , , , , , , , No position found
01/25/2019, 08:15:04, , , , , , , , No position found
01/25/2019, 08:31:34, , , , , , , , No position found
01/25/2019, 08:48:05, , , , , , , , No position found
01/25/2019, 09:04:35, , , , , , , , No position found
01/25/2019, 09:21:06, , , , , , , , No position found
01/25/2019, 09:37:36, , , , , , , , No position found
01/25/2019, 09:54:06, , , , , , , , No position found
01/25/2019, 10:10:37, , , , , , , , No position found
01/25/2019, 10:27:07, , , , , , , , No position found
01/25/2019, 10:43:38, , , , , , , , No position found
01/25/2019, 11:00:08, , , , , , , , No position found
01/25/2019, 11:16:39, , , , , , , , No position found
01/25/2019, 11:33:09, , , , , , , , No position found
01/25/2019, 11:49:40, , , , , , , , No position found
01/25/2019, 12:06:10, , , , , , , , No position found
01/25/2019, 12:22:41, , , , , , , , No position found
01/25/2019, 12:39:11, , , , , , , , No position found
01/25/2019, 12:55:42, , , , , , , , No position found
01/25/2019, 13:12:12, , , , , , , , No position found
01/25/2019, 13:28:43, , , , , , , , No position found
01/25/2019, 13:45:13, , , , , , , , No position found
01/25/2019, 14:01:43, , , , , , , , No position found
01/25/2019, 14:18:14, , , , , , , , No position found
01/25/2019, 14:34:44, , , , , , , , No position found
01/25/2019, 14:51:15, , , , , , , , No position found
01/25/2019, 15:07:45, , , , , , , , No position found
01/25/2019, 15:24:16, , , , , , , , No position found
01/25/2019, 15:40:46, , , , , , , , No position found
01/25/2019, 15:57:17, , , , , , , , No position found
01/25/2019, 16:13:47, , , , , , , , No position found
01/25/2019, 16:30:18, , , , , , , , No position found
01/25/2019, 16:46:48, , , , , , , , No position found
01/25/2019, 17:03:19, , , , , , , , No position found
01/25/2019, 17:19:49, , , , , , , , No position found
01/25/2019, 17:36:20, , , , , , , , No position found
01/25/2019, 17:52:50, , , , , , , , No position found
01/25/2019, 18:09:21, , , , , , , , No position found
01/25/2019, 18:25:51, , , , , , , , No position found
01/25/2019, 18:42:21, , , , , , , , No position found
01/25/2019, 18:58:52, , , , , , , , No position found
01/25/2019, 19:15:22, , , , , , , , No position found
01/25/2019, 19:31:53, , , , , , , , No position found
01/25/2019, 19:48:23, , , , , , , , No position found
01/25/2019, 20:04:54, , , , , , , , No position found
01/25/2019, 20:21:24, , , , , , , , No position found
01/25/2019, 20:37:55, , , , , , , , No position found
01/25/2019, 20:54:25, , , , , , , , No position found
